name,n.obs,total.acc
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",214,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",214,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",90,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",90,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",68,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",68,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",236,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",236,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",244,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",244,86.3117870722433
Puerto Rico-Virgin Islands (PRVI) shelf complex,3041,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1682,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1682,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,995,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,995,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,314,95.8895100295955
Puerto Rico-Virgin Islands (PRVI) shelf complex,314,95.8895100295955
Puerto Rico-Virgin Islands (PRVI) shelf complex,1754,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1754,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2731,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2731,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2835,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2835,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1021,95.8895100295955
Puerto Rico-Virgin Islands (PRVI) shelf complex,1021,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1249,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1249,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1522,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1522,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2823,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2823,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1795,96.0210457086485
