"","site","esd","ops","represented"
"35552","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35553","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35554","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35555","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35556","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35557","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35558","Intertidal rocky pools",1480.75576798461,1480.75576798461,1
"35559","Intertidal rocky pools",10464.4773592106,1480.75576798461,1
"35560","Intertidal rocky pools",10226.5654354909,1480.75576798461,1
"35561","Intertidal rocky pools",7710.2928416282,1480.75576798461,1
"35562","Intertidal rocky pools",6285.13933519191,1480.75576798461,1
"35563","Intertidal rocky pools",1480.75576798461,1240.7009817988,1
"35564","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"35565","Intertidal rocky pools",7710.2928416282,1240.7009817988,1
"35566","Intertidal rocky pools",6285.13933519191,1240.7009817988,1
"35567","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35568","Intertidal rocky pools",10226.5654354909,10226.5654354909,1
"35569","Intertidal rocky pools",10464.4773592106,10226.5654354909,1
"35570","Intertidal rocky pools",14202.4808461499,10226.5654354909,1
"35571","Intertidal rocky pools",10464.4773592106,9847.45021842697,1
"35572","Intertidal rocky pools",10226.5654354909,10464.4773592106,1
"35573","Intertidal rocky pools",10464.4773592106,10464.4773592106,1
"35574","Intertidal rocky pools",14202.4808461499,10464.4773592106,1
"35575","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35576","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35577","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35578","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35579","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35580","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35581","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35582","Intertidal rocky pools",14202.4808461499,7005.26594964442,1
"35583","Intertidal rocky pools",10226.5654354909,7005.26594964442,1
"35584","Intertidal rocky pools",10464.4773592106,7005.26594964442,1
"35585","Intertidal rocky pools",14202.4808461499,6592.20765050887,1
"35586","Intertidal rocky pools",10226.5654354909,6592.20765050887,1
"35587","Intertidal rocky pools",10464.4773592106,6592.20765050887,1
"35588","Intertidal rocky pools",10226.5654354909,8907.05978299811,1
"35589","Intertidal rocky pools",14202.4808461499,8907.05978299811,1
"35590","Intertidal rocky pools",10226.5654354909,1563.18528359354,1
"35591","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35592","Intertidal rocky pools",10226.5654354909,2571.16804199395,1
"35593","Intertidal rocky pools",10226.5654354909,2121.56883589411,1
"35594","Intertidal rocky pools",10226.5654354909,10103.3418057638,1
"35595","Intertidal rocky pools",14202.4808461499,14202.4808461499,1
"35596","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35597","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35598","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35599","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35600","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35601","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35602","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35603","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35604","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35605","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35606","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35607","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35608","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35609","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35610","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35611","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35612","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35613","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35614","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35615","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35616","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35617","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35618","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35619","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35620","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35621","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35622","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35623","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35624","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35625","Intertidal rocky pools",7710.2928416282,2673.00923514395,1
"35626","Intertidal rocky pools",6285.13933519191,2673.00923514395,1
"35627","Intertidal rocky pools",7710.2928416282,7710.2928416282,1
"35628","Intertidal rocky pools",6285.13933519191,7710.2928416282,1
"35629","Intertidal rocky pools",7710.2928416282,6285.13933519191,1
"35630","Intertidal rocky pools",6285.13933519191,6285.13933519191,1
"35631","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35632","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35633","Intertidal rocky pools",14202.4808461499,2673.00923514395,1
"35634","Intertidal rocky pools",10226.5654354909,2673.00923514395,1
"35635","Intertidal rocky pools",10464.4773592106,2673.00923514395,1
"35636","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35637","Intertidal rocky pools",11272.5165178683,2673.00923514395,1
"35638","Intertidal rocky pools",11120.1665377826,2673.00923514395,1
"35639","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35640","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"35641","Intertidal rocky pools",1280.75095273809,1240.7009817988,1
"35642","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35643","Intertidal rocky pools",11272.5165178683,1748.71809118047,1
