Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Mirounga_leonina,4.3,3.1,-0.1,3.2,Carnivore,Squid,Marine,Pauly et al. 1998,Bornemann et al. 2000,"Glaser 2010, Artigues et al. 2003, Ainley et al. 2008, Cherel et al. 2004, Slip 1995",Pauly et al. 1998
Monodon_monoceros,4.2,3.2,-0.9,4.0,Carnivore,Squid,Marine,Pauly et al. 1998,Dietz et al. 2008,"Zumholz et al. 2007, Finley et al. 1982, Van Pelt et al. 1997, Koie et al. 2008",Pauly et al. 1998
Ommatophoca_rossii,4.1,3.1,-0.5,3.6,Carnivore,Squid,Marine,Pauly et al. 1998,Southwell et al. 2005,Skinner et al. 1994,Pauly et al. 1998
Orcinus_orca,4.5,2.3,4.0,-1.7,Carnivore,Mammal-fish,Marine,Pauly et al. 1998,Andrews et al. 2008,"Artigues et al. 2003, Pitman et al. 2003, Ford et al. 1998, Bornemann et al. 2005,  Southwell 2003,  Jones et al. 2009",Pauly et al. 1998
Otaria_flavescens,4.0,4.8,-0.7,5.4,Carnivore,Fish,Marine,Pauly et al. 1998,Campagna et al. 2001,"Thompson et al. 1998, Eder et al. 2005, Clarke et al. 1994, Clausen et al. 2003",Pauly et al. 1998
Phoca_vitulina,4.0,2.4,-3.9,6.3,Carnivore,Fish,Marine,Pauly et al. 1998,Smith et al. 2006,"Vilhjamsson 2002, Weslawski 2006",Pauly et al. 1998
Phocarctos_hookeri,4.0,1.5,0.1,1.4,Carnivore,Squid-fish,Marine,Pauly et al. 1998,Auge et al. 2011,Maynier et al. 2009,Pauly et al. 1998
Phocoena_phocoena,4.1,2.1,-1.1,3.2,Carnivore,Fish,Marine,Pauly et al. 1998,Johnston et al.  2005,"Santos et al. 2004, Andersen & Beyer 2005, Julshamn et al. 2004",Pauly et al. 1998
Physeter_catodon,4.4,1.7,-0.1,1.8,Carnivore,Squid,Marine,Pauly et al. 1998,Lockyer 1976,Gaskin et al. 1967,Pauly et al. 1998
Pontoporia_blainvillei,4.1,4.4,-1.1,5.5,Carnivore,Fish,Marine,Pauly et al. 1998,Danilewicz et al 2002,"Naya et al. 2002, Rodriguez et al. 2002, Amado et al. 2006, Santos et al. 1998, Bolasina 2006",Pauly et al. 1998
Sotalia_fluviatilis,4.1,1.5,-0.9,2.4,Carnivore,Fish,Marine,Pauly et al. 1998,Flores et al. 2004,"Naya et al. 2002,Godoy et al. 2002, Borobia et al. 1989, Lapa-Guimaraes et al. 2005",Pauly et al. 1998
Sotalia_guianensis,4.1,1.7,-0.5,2.3,Carnivore,Fish,Marine,Pauly et al. 1998,Oshima et al. 2010,"Godoy et al. 2002, Lapa-Guimares et al. 2005, Di Beneditto et al. 2007",Pauly et al. 1998
Tursiops_truncatus,4.2,1.9,0.2,1.7,Carnivore,Fish,Marine,Pauly et al. 1998,Gubbins et al. 2002,"Santos et al. 2001, Skog et al. 2003, Kjesbu et al. 1989, Anderson et al. 2005",Pauly et al. 1998
Ursus_maritimus,5.0,3.5,-1.0,4.5,Carnivore,Mammal,Marine,Pauly et al. 1998,Ferguson et al. 1999,Carbone et al. 2007,Pauly et al. 1998
Zalophus_californianus,4.1,2.6,2.1,0.5,Carnivore,Fish,Marine,Pauly et al. 1998,Kuhn 2006,"Lowry et al. 1991, Hunter et al. 1980, Williamson et al. 1984, Quitral et al. 2009",Pauly et al. 1998
Ziphius_cavirostris,4.3,1.9,-0.4,2.4,Carnivore,Squid,Marine,Pauly et al. 1998,Noren 2000,"Santos et al. 2001, Pusineri et al. 2007, Xavier et al. 2002",Pauly et al. 1998
Acinonyx_jubatus,3.0,1.7,1.5,0.2,Carnivore,Mammal,Terrestrial,Hayward et al. 2006a,Kelt & van Vuren 2001,Carbone 2007,Hayward 2006
Bassariscus_sumichrasti,3.1,-0.1,-1.5,1.4,Carnivore,Invertebrate,Terrestrial,"McNab 1995, Estrada et al. 1985",Cabone 2007,Carbone 2007,Carbone 2007
Canis_adustus,2.9,0.9,-0.1,1.0,Carnivore,Invertebrate,Terrestrial,Atkinson et al. 2002,Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Canis_aureus,3.4,1.0,-0.8,1.8,Carnivore,Mammal,Terrestrial,Jaeger et al. 2007,Carbone et al. 2007,Carbone 2007,Carbone 2007
Canis_latrans,3.0,1.1,1.6,-0.5,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Parker 1986; Carrera et al. 2008",Carbone et al. 2007,Carbone 2007,Carbone 2007
Canis_lupus,3.1,1.5,1.9,-0.4,Carnivore,Mammal,Terrestrial,Metz et al. 2012; Nowak et al. 2011,Carbone et al. 2007,Carbone 2007,Carbone 2007
Canis_simensis,3.0,1.2,-0.7,1.9,Carnivore,Mammal,Terrestrial,Marino et al. 2010,Carbone et al. 2007,Carbone 2007,Carbone 2007
Caracal_caracal,3.0,1.0,1.2,-0.2,Carnivore,Mammal,Terrestrial,Avenant et al. 2002,Carbone et al. 2007,Carbone 2007,Carbone 2007
Cerdocyon_thous,2.9,0.8,-1.0,1.7,Carnivore,Mammal-Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Gatti et al. 2006",Kelt & van Vuren 2001,"MacDonald et al. 1996, Damuth 1987, Kelt & van Vuren 2001",Munoz-Garcia et al. 2005
Crocuta_crocuta,3.0,1.8,2.0,-0.2,Carnivore,Mammal,Terrestrial,"Cooper 1990, Cooper et al. 1999, Hayward et al. 2006",Carbone et al. 2007,Carbone 2007,Carbone 2007
Eira_barbara,3.1,0.7,0.6,0.1,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, McNab 1995",Kelt & van Vuren 2001,"McNab 1995, Milton et al. 1976, Damuth 1987",Munoz-Garcia et al. 2005
