#,Species reported name,Species current name,Trophic strategy,Feeding mode,Theca,Sulcus morphology,"Equivalent spherical diameter (ESD, um)","Standard deviation of equivalent spherical diameter (ESD, um)","Optimal prey, specie","Optimal prey, taxa","Optimal prey size, (OPS, um)","Standard deviation, optimal prey size (um)",Minimum prey size (um),Maximum prey size (um),Median prey size (um),"Specialization factor, s",Primary source,Secondary source
62,Protoperidinium depressum,,H,PF,1,,81,,Ditylum brightwelli,Diatom,35.2,,,,,1,menden-deuer2005,jeong2010
63,Gyrodinium moestrupii,,H,DE,0,overlaping,18.4,,Alexandrium minutum,Dinophyta,21.9,,,,,0,,lee2014a
64,Gyrodinium dominans,,H,DE,0,overlaping,20,,Prorocentrum minimum,Dinophyta,12.1,,,,,0,,lee2014a
65,Takayama helix,,M,TF,0,,27.4,,Alexandrium lusitanitum,Dinophyta,20.4,,,,,0,,jeong2016a
66,Takayama helix,,M,TF,0,,27.4,,Alexandrium tamarense,Dinophyta,31.2,,,,,0,,jeong2016a
67,Oxyrrhis marina,,H,DE,0,no-sulcus,15.6,,Karlodinium veneficum,Dinophyta,9.1,,,,,0,,jeong2010
68,Takayama helix,,M,DE,0,straight,27.4,,Heterocapsa triquetra,Dinophyta,15,4.3,,,,0,,jeong2016a
69,Gyrodinium dominans,,H,DE,0,straight,25,,Heterocapsa triquetra,Dinophyta,10.9,,6,43,16.1,0,naustvoll2000b,fuchs2010
70,Gyrodinium fusiforme,,H,DE,0,overlaping,16.1,,Heterocapsa triquetra,Dinophyta,10.9,,6,14,9.2,0,naustvoll2000b,fuchs2010
71,Katodinium glaucum,,H,DE,0,straight,21.5,,Heterocapsa triquetra,Dinophyta,10.9,,6,12,8.5,0,naustvoll2000b,fuchs2010
72,Alexandrium andersonii,,M,DE,1,straight,14.9,,Pyramimonas sp.,Cryptophyta,5.6,1.5,,,,-1,,lee2016a
73,Alexandrium pohangense,,M,DE,1,straight,32,,Cochlodinium polykrikoides,Dinophyta,25.8,2.9,,,,0,,lee2016a
74,Alexandrium pseudogonyaulax,,M,DE,1,straight,35.4,,Heterocapsa rotundata,Dinophyta,9.5,1.6,,,,0,,lee2016a
75,Noctiluca scintillans,,H,DE,0,no-sulcus,225,15,Latex bead,Non-alive,80,,11.9,140,40.8,,,kiorboe1999
76,Noctiluca scintillans,,H,DE,0,no-sulcus,225,15,Thalasosira weisflogii,Diatom,12.8,,,,,0,,kiorboe1999
77,Lingulodinium polyedra,,M,DE,1,straight,36.6,3.6,Prorocentrum cordatum,Dinophyta,12.1,2.5,,,,0,,jeong2021
78,Takayama tasmanica,,M,DE,0,,24.3,,Alexandrium minutum,Dinophyta,21.9,,,,,0,,jeong2021
79,Heterocapsa steinii,,H,PF,1,,25,17,Heterocapsa triquetra,Dinophyta,10.9,,6,43,16.1,1,naustvoll2000,jeong2021
