"X","name","specie","esd","opt","type","group","source","kingdom","phylum","class","order","family","genus","tag"
49,"Benthosema glaciale","Benthosema glaciale",1631.46657239152,83.1478737999098,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Benthosema","Fish - planktivorous"
50,"Berardius arnuxii","Berardius arnuxii",4574396.36138768,106414.414346653,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Berardius","Mammals - Fish"
51,"Berardius bairdii","Berardius bairdii",2475523.91312804,106414.414346653,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Berardius","Mammals - Fish"
52,"Beroe cucumis","Beroe cucumis",5616.58652356287,1344.14874465889,"tentacled","Jellyfish","Brose 2019","Animalia","Ctenophora","Nuda","Beroida","Beroidae","Beroe","Jellyfish - tentacled"
53,"Bodo","Bodo sp.",4.4,1.4,"Flagellate","Plankton","Hansen 1994","Protozoa","Euglenozoa","Kinetoplastea","Parabodonida","Bodonidae","Bodo","Plankton - Flagellate"
54,"Bodo","Bodo sp.",4.9,1.4,"Flagellate","Plankton","Hansen 1994","Protozoa","Euglenozoa","Kinetoplastea","Parabodonida","Bodonidae","Bodo","Plankton - Flagellate"
55,"Bodo","Bodo sp.",3.4,1.3,"Flagellate","Plankton","Hansen 1994","Protozoa","Euglenozoa","Kinetoplastea","Parabodonida","Bodonidae","Bodo","Plankton - Flagellate"
56,"Bodonid","Bodonid sp.",4.64327470649756,0.848528137423857,"Flagellate","Plankton","Fuchs 2010","Animalia","Arthropoda","Ostracoda",,"Tvaerenellidae","Bodenia","Plankton - Flagellate"
57,"Bodonid","Bodonid sp.",4.64327470649756,0.848528137423857,"swimming predacious","Invertebrate","Fuchs 2010","Animalia","Arthropoda","Copepoda","Harpacticoida","Argestidae","Bodinia","Invertebrate - swimming predacious"
58,"Bolinopsis infudibulum","Bolinopsis infudibulum",18973.6659610103,2345.20787991171,"tentacled","Jellyfish","Fuchs 2010","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","Bolinopsis","Jellyfish - tentacled"
59,"Bosmina longispina","Bosmina longispina",460,3.57770876399966,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
60,"Bowmaniella dissimilis","Bowmaniella dissimilis",1820.51150767554,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Bowmaniella","Invertebrate - swimming predacious"
61,"Brachionus angularis","Brachionus angularis",66,3.5,"sessile herbivorous","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
62,"Brachionus angularis","Brachionus angularis",118.321595661992,3.46410161513775,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
63,"Brachionus B","Brachionus B",126,6,"sessile herbivorous","Invertebrate","Hansen 1994","Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Brachionus","Invertebrate - sessile herbivorous"
64,"Brachionus calyciflorus","Brachionus calyciflorus",250.399680510978,7.34846922834953,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
65,"Brachionus calyciflorus","Brachionus calyciflorus",139,8.8,"sessile herbivorous","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
66,"Brachionus F","Brachionus F",83,6.1,"sessile herbivorous","Invertebrate","Hansen 1994","Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Brachionus","Invertebrate - sessile herbivorous"
67,"Brachionus rubens B","Brachionus rubens",228.035085019828,4.24264068711929,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
68,"Brachionus rubens F","Brachionus rubens",146.969384566991,3.46410161513775,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
69,"Calanoides acutus","Calanoides acutus",2190.0533228654,1952.93892467575,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanoides","Invertebrate - swimming predacious"
70,"Calanus finmarchicus","Calanus finmarchicus",855,80,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
71,"Calanus finnmarchicus","Calanus finnmarchicus",737.439567986421,890.705978299812,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
72,"Calanus helgolandicus","Calanus helgolandicus",737.439567986421,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
73,"Calanus pacificus C1","Calanus pacificus",289,28.7,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
74,"Calanus pacificus N5","Calanus pacificus",237,28.7,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
75,"Calanus propinquus","Calanus propinquus",2216.28399975228,2190.0533228654,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Invertebrate - swimming predacious"
76,"Callianira antarctica","Callianira antarctica",22032.4673341026,943.665370360165,"tentacled","Jellyfish","Brose 2019","Animalia","Ctenophora","Tentaculata","Cydippida","Cydippida incertae sedis","Callianira","Jellyfish - tentacled"
77,"Callorhinus ursinus","Callorhinus ursinus",2886248.98078103,78282.939676974,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Callorhinus","Mammals - Fish"
78,"Canuella elongata","Canuella elongata",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Polyarthra","Canuellidae","Canuella","Invertebrate - swimming predacious"
79,"Caperea marginata","Caperea marginata",457439.636138768,2475.52391312804,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Neobalaenidae","Caperea","Mammals - Zooplankton"
80,"Caprella fretensis","Caprella fretensis",2557.35215102886,640.794357169306,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Invertebrate - swimming predacious"
81,"Caprella linearis","Caprella linearis",3695.95689469996,563.92626615601,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Invertebrate - swimming predacious"
82,"Caprella penantis","Caprella penantis",4041.92697217237,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Invertebrate - swimming predacious"
83,"Carangoides sp.","Carangoides sp.",1911.31335867898,164.760645198199,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides","Fish - predacious"
84,"Carangoides sp.","Carangoides sp.",1911.31335867898,164.760645198199,"predacious","Fish","Barnes 2008","Animalia","Platyhelminthes","Monogenea","Mazocraeidea","Heteraxinidae","Carangoides","Fish - predacious"
85,"Carcharhinus isodon ","Carcharhinus isodon",218310.275486686,36554.8214521992,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Fish - piscivorous"
86,"Carcharhinus limbatus","Carcharhinus limbatus",200178.250518496,36792.4368297071,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Fish - piscivorous"
87,"Centropages furcatus","Centropages furcatus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Invertebrate - swimming predacious"
88,"Centropages hamatus","Centropages hamatus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Invertebrate - swimming predacious"
89,"Centropages typicus","Centropages typicus",559,32,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Invertebrate - swimming predacious"
90,"Cephalorhynchus commersonii","Cephalorhynchus commersonii",3923440.99769132,78282.939676974,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Mammals - Fish"
91,"Cephalorhynchus heavisidii","Cephalorhynchus heavisidii",533335.459444651,98552.3820692924,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Mammals - Fish"
92,"Cephalorhynchus hectori","Cephalorhynchus hectori",533335.459444651,114903.641525165,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Mammals - Fish"
93,"Ceratoscopelus maderensis","Ceratoscopelus maderensis",1565.89012176925,60.3852690444299,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Ceratoscopelus","Fish - planktivorous"
